begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H15N_4_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
180.00,360.00,H15N_4_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
360.00,540.00,H15N_4_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
540.00,720.00,H15N_4_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
720.00,900.00,H15N_4_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
900.00,1080.00,H15N_4_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
1080.00,1260.00,H15N_4_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
1260.00,1440.00,H15N_4_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
1440.00,1620.00,H15N_4_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
1620.00,1800.00,H15N_4_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
1800.00,1980.00,H15N_4_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
1980.00,2160.00,H15N_4_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
2160.00,2340.00,H15N_4_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
2340.00,2520.00,H15N_4_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
2520.00,2700.00,H15N_4_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
2700.00,2880.00,H15N_4_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
2880.00,3060.00,H15N_4_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
3060.00,3240.00,H15N_4_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
3240.00,3420.00,H15N_4_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
3420.00,3600.00,H15N_4_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
3600.00,3780.00,H15N_4_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
3780.00,3960.00,H15N_4_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
