H10E_offRamp1,H10E_offRamp2,H10E_onRamp1,H10E_onRamp2,H10W_offRamp1,H10W_offRamp2,H10W_onRamp1,H10W_onRamp2,H15N_offRamp1,H15N_offRamp2,H15N_onRamp1,H15N_onRamp2,H15S_offRamp1,H15S_offRamp2,H15S_onRamp1,H15S_onRamp2,H20E_offRamp1,H20E_onRamp1,H20W_offRamp1,H20W_onRamp1,H25N_offRamp1,H25N_offRamp2,H25N_onRamp1,H25N_onRamp2,H25S_offRamp1,H25S_offRamp2,H25S_onRamp1,H25S_onRamp2
0.0,0.0,960.0,320.0,0.0,0.0,640.0,640.0,0.0,0.0,880.0,200.0,0.0,0.0,240.0,480.0,0.0,600.0,0.0,400.0,0.0,0.0,660.0,420.0,0.0,0.0,560.0,360.0
0.0,0.0,940.0,520.0,0.0,0.0,660.0,660.0,0.0,0.0,880.0,200.0,0.0,0.0,400.0,500.0,0.0,480.0,0.0,380.0,0.0,0.0,640.0,400.0,0.0,0.0,540.0,340.0
0.0,0.0,960.0,320.0,0.0,0.0,640.0,640.0,0.0,0.0,960.0,200.0,0.0,0.0,580.0,480.0,0.0,320.0,0.0,320.0,0.0,0.0,640.0,380.0,0.0,0.0,560.0,360.0
0.0,0.0,940.0,160.0,0.0,0.0,680.0,620.0,0.0,0.0,780.0,180.0,0.0,0.0,640.0,480.0,0.0,400.0,0.0,460.0,0.0,0.0,660.0,420.0,0.0,0.0,540.0,340.0
0.0,0.0,960.0,240.0,0.0,0.0,620.0,680.0,0.0,0.0,780.0,220.0,0.0,0.0,580.0,520.0,0.0,240.0,0.0,740.0,0.0,0.0,660.0,400.0,0.0,0.0,540.0,360.0
0.0,0.0,940.0,160.0,0.0,0.0,680.0,620.0,0.0,0.0,720.0,200.0,0.0,0.0,320.0,500.0,0.0,320.0,0.0,980.0,0.0,0.0,660.0,380.0,0.0,0.0,540.0,340.0
0.0,0.0,940.0,320.0,0.0,0.0,660.0,700.0,0.0,0.0,480.0,200.0,0.0,0.0,320.0,500.0,0.0,280.0,0.0,720.0,0.0,0.0,660.0,420.0,0.0,0.0,560.0,360.0
0.0,0.0,900.0,280.0,0.0,0.0,640.0,640.0,0.0,0.0,220.0,200.0,0.0,0.0,280.0,500.0,0.0,360.0,0.0,660.0,0.0,0.0,620.0,400.0,0.0,0.0,540.0,340.0
0.0,0.0,760.0,480.0,0.0,0.0,640.0,640.0,0.0,0.0,240.0,200.0,0.0,0.0,300.0,480.0,0.0,200.0,0.0,520.0,0.0,0.0,480.0,380.0,0.0,0.0,560.0,360.0
0.0,0.0,740.0,720.0,0.0,0.0,620.0,660.0,0.0,0.0,280.0,200.0,0.0,0.0,160.0,500.0,0.0,320.0,0.0,600.0,0.0,0.0,440.0,420.0,0.0,0.0,540.0,340.0
0.0,0.0,500.0,840.0,0.0,0.0,580.0,700.0,0.0,0.0,280.0,200.0,0.0,0.0,300.0,520.0,0.0,600.0,0.0,560.0,0.0,0.0,300.0,380.0,0.0,0.0,600.0,400.0
0.0,0.0,740.0,580.0,0.0,0.0,260.0,640.0,0.0,0.0,520.0,180.0,0.0,0.0,360.0,500.0,0.0,600.0,0.0,280.0,0.0,0.0,320.0,400.0,0.0,0.0,540.0,340.0
0.0,0.0,580.0,420.0,0.0,0.0,240.0,660.0,0.0,0.0,800.0,220.0,0.0,0.0,280.0,500.0,0.0,440.0,0.0,480.0,0.0,0.0,420.0,400.0,0.0,0.0,560.0,360.0
0.0,0.0,840.0,320.0,0.0,0.0,520.0,640.0,0.0,0.0,1020.0,180.0,0.0,0.0,480.0,500.0,0.0,660.0,0.0,720.0,0.0,0.0,180.0,400.0,0.0,0.0,540.0,340.0
0.0,0.0,940.0,400.0,0.0,0.0,440.0,660.0,0.0,0.0,820.0,220.0,0.0,0.0,500.0,500.0,0.0,500.0,0.0,600.0,0.0,0.0,400.0,380.0,0.0,0.0,540.0,360.0
0.0,0.0,720.0,240.0,0.0,0.0,680.0,640.0,0.0,0.0,580.0,180.0,0.0,0.0,340.0,500.0,0.0,660.0,0.0,360.0,0.0,0.0,400.0,400.0,0.0,0.0,560.0,340.0
0.0,0.0,520.0,280.0,0.0,0.0,440.0,480.0,0.0,0.0,540.0,220.0,0.0,0.0,400.0,480.0,0.0,380.0,0.0,280.0,0.0,0.0,440.0,400.0,0.0,0.0,560.0,360.0
0.0,0.0,520.0,480.0,0.0,0.0,400.0,680.0,0.0,0.0,400.0,200.0,0.0,0.0,280.0,500.0,0.0,600.0,0.0,460.0,0.0,0.0,320.0,400.0,0.0,0.0,540.0,340.0
0.0,0.0,320.0,760.0,0.0,0.0,360.0,740.0,0.0,0.0,600.0,200.0,0.0,0.0,540.0,500.0,0.0,600.0,0.0,700.0,0.0,0.0,360.0,380.0,0.0,0.0,560.0,360.0
0.0,0.0,520.0,960.0,0.0,0.0,580.0,700.0,0.0,0.0,760.0,200.0,0.0,0.0,820.0,480.0,0.0,560.0,0.0,800.0,0.0,0.0,540.0,440.0,0.0,0.0,540.0,340.0
0.0,0.0,820.0,1640.0,0.0,0.0,480.0,660.0,0.0,0.0,520.0,200.0,0.0,0.0,720.0,500.0,0.0,480.0,0.0,620.0,0.0,0.0,300.0,380.0,0.0,0.0,560.0,360.0
0.0,0.0,880.0,1540.0,0.0,0.0,280.0,640.0,0.0,0.0,440.0,200.0,0.0,0.0,680.0,500.0,0.0,200.0,0.0,580.0,0.0,0.0,420.0,340.0,0.0,0.0,540.0,340.0
0.0,0.0,640.0,1340.0,0.0,0.0,260.0,660.0,0.0,0.0,580.0,200.0,0.0,0.0,800.0,500.0,0.0,260.0,0.0,880.0,0.0,0.0,180.0,460.0,0.0,0.0,560.0,360.0
0.0,0.0,640.0,900.0,0.0,0.0,200.0,640.0,0.0,0.0,500.0,200.0,0.0,0.0,680.0,480.0,0.0,440.0,0.0,1000.0,0.0,0.0,240.0,420.0,0.0,0.0,540.0,340.0
0.0,0.0,760.0,960.0,0.0,0.0,320.0,660.0,0.0,0.0,320.0,200.0,0.0,0.0,620.0,500.0,0.0,580.0,0.0,800.0,0.0,0.0,240.0,380.0,0.0,0.0,560.0,360.0
0.0,0.0,640.0,920.0,0.0,0.0,240.0,640.0,0.0,0.0,440.0,200.0,0.0,0.0,720.0,480.0,0.0,600.0,0.0,1320.0,0.0,0.0,200.0,400.0,0.0,0.0,520.0,340.0
0.0,0.0,480.0,780.0,0.0,0.0,320.0,620.0,0.0,0.0,640.0,200.0,0.0,0.0,1000.0,480.0,0.0,700.0,0.0,1020.0,0.0,0.0,280.0,400.0,0.0,0.0,580.0,360.0
0.0,0.0,440.0,700.0,0.0,0.0,280.0,660.0,0.0,0.0,600.0,200.0,0.0,0.0,1620.0,480.0,0.0,580.0,0.0,820.0,0.0,0.0,440.0,420.0,0.0,0.0,540.0,340.0
0.0,0.0,360.0,620.0,0.0,0.0,480.0,680.0,0.0,0.0,660.0,200.0,0.0,0.0,1740.0,520.0,0.0,760.0,0.0,700.0,0.0,0.0,560.0,400.0,0.0,0.0,340.0,360.0
0.0,0.0,600.0,460.0,0.0,0.0,460.0,640.0,0.0,0.0,940.0,200.0,0.0,0.0,1500.0,500.0,0.0,840.0,0.0,480.0,0.0,0.0,460.0,400.0,0.0,0.0,440.0,340.0
